publication_week,entity,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance
2026-02-23/2026-03-01,Mary Lou McDonald,2,2,1.509,531000,-0.25
2026-02-23/2026-03-01,Micheál Martin,1,1,0.746,61567,-0.5
2026-02-23/2026-03-01,NATO,5,4,4.465,1492457,0.055
2026-02-23/2026-03-01,Palestine,4,4,3.209,247360,0.0
2026-02-23/2026-03-01,People Before Profit,1,1,0.741,53345,-0.75
2026-02-23/2026-03-01,Russia,4,4,3.581,595086,-0.012
2026-02-23/2026-03-01,Shannon Airport,1,1,0.746,60857,-0.941
2026-02-23/2026-03-01,Simon Harris,1,1,0.821,61567,0.0
2026-02-23/2026-03-01,Sinn Féin,5,4,4.082,1107567,-0.36
2026-02-23/2026-03-01,UN Security Council,1,1,0.906,61457,-0.05
2026-02-23/2026-03-01,US military,1,1,0.746,60857,-0.941
2026-02-23/2026-03-01,Ukraine,10,10,8.447,1404883,-0.055
2026-03-02/2026-03-08,Cabinet,2,2,1.034,58498,-0.171
2026-03-02/2026-03-08,Defence Forces,3,3,2.473,291498,-0.278
2026-03-02/2026-03-08,Donald Trump,7,7,6.193,1488269,-0.519
2026-03-02/2026-03-08,Dáil,4,3,2.916,248538,-0.167
2026-03-02/2026-03-08,EU,1,1,1.033,416834,0.325
2026-03-02/2026-03-08,Fianna Fáil,4,3,3.182,226995,-0.167
2026-03-02/2026-03-08,Fine Gael,6,5,3.949,280538,-0.306
2026-03-02/2026-03-08,Gaza,2,2,1.425,123498,-0.734
2026-03-02/2026-03-08,Government,20,16,16.56,3152102,-0.207
2026-03-02/2026-03-08,Helen McEntee,2,2,1.323,416834,-0.088
2026-03-02/2026-03-08,Israel,15,14,11.909,2389224,-0.329
2026-03-02/2026-03-08,Labour Party,3,2,2.225,163542,-0.222
2026-03-02/2026-03-08,Micheál Martin,4,4,2.952,894978,-0.492
2026-03-02/2026-03-08,NATO,6,5,3.72,585916,-0.383
2026-03-02/2026-03-08,Palestine,1,1,1.033,416834,0.0
2026-03-02/2026-03-08,People Before Profit,4,3,3.166,585184,-0.325
2026-03-02/2026-03-08,Russia,4,4,3.211,329998,-0.339
2026-03-02/2026-03-08,Shannon Airport,2,2,1.684,478144,-0.65
2026-03-02/2026-03-08,Simon Harris,2,2,1.487,115000,-0.667
2026-03-02/2026-03-08,Sinn Féin,4,4,3.152,425681,-0.458
2026-03-02/2026-03-08,Triple Lock,1,1,0.744,58498,-0.667
2026-03-02/2026-03-08,UN,1,1,0.743,56502,-0.667
2026-03-02/2026-03-08,UN Security Council,3,3,2.108,258498,-0.675
2026-03-02/2026-03-08,US military,3,3,2.747,898668,-0.433
2026-03-02/2026-03-08,Ukraine,5,4,3.651,240248,-0.3
2026-03-02/2026-03-08,United States,5,5,3.778,948205,-0.433
2026-03-09/2026-03-15,Cabinet,1,1,0.745,59289,-0.5
2026-03-09/2026-03-15,Defence Forces,5,4,3.952,296362,-0.186
2026-03-09/2026-03-15,Donald Trump,11,11,10.269,3113786,-0.472
2026-03-09/2026-03-15,Dáil,3,3,2.852,1218815,-0.278
2026-03-09/2026-03-15,EU,1,1,0.745,59289,-0.5
2026-03-09/2026-03-15,Fianna Fáil,1,1,0.744,58498,-0.5
2026-03-09/2026-03-15,Fine Gael,1,1,0.744,58498,-0.5
2026-03-09/2026-03-15,Gaza,8,7,6.588,1527195,-0.529
2026-03-09/2026-03-15,Government,52,20,40.244,6078492,0.24
2026-03-09/2026-03-15,Helen McEntee,36,4,26.296,2249694,0.46
2026-03-09/2026-03-15,Ireland Palestine Solidarity Campaign,3,3,2.231,173409,-0.5
2026-03-09/2026-03-15,Irish Neutrality League,1,1,0.977,419646,-0.833
2026-03-09/2026-03-15,Israel,15,13,13.142,3337813,-0.375
2026-03-09/2026-03-15,Labour Party,3,3,2.468,538203,-0.452
2026-03-09/2026-03-15,Micheál Martin,41,10,31.602,5056049,0.357
2026-03-09/2026-03-15,NATO,6,6,4.966,714819,-0.238
2026-03-09/2026-03-15,Palestine,7,7,5.517,738964,-0.337
2026-03-09/2026-03-15,People Before Profit,5,5,4.381,1340184,-0.613
2026-03-09/2026-03-15,Russia,36,6,26.86,3407063,0.472
2026-03-09/2026-03-15,Shannon Airport,7,6,6.346,1397909,-0.714
2026-03-09/2026-03-15,Shannonwatch,1,1,0.784,62871,-0.857
2026-03-09/2026-03-15,Simon Harris,1,1,0.939,416834,0.0
2026-03-09/2026-03-15,Sinn Féin,4,3,3.208,589955,-0.214
2026-03-09/2026-03-15,Triple Lock,3,2,2.737,853503,-0.524
2026-03-09/2026-03-15,UN,2,1,1.874,791081,-0.5
2026-03-09/2026-03-15,UN Security Council,1,1,0.863,62422,-0.571
2026-03-09/2026-03-15,US military,8,7,7.163,1453442,-0.688
2026-03-09/2026-03-15,Ukraine,4,4,3.458,590939,-0.455
2026-03-09/2026-03-15,United States,4,4,3.655,1278425,-0.386
2026-03-09/2026-03-15,Volodymyr Zelenskiy,1,1,0.939,416834,0.0
2026-03-16/2026-03-22,Cabinet,1,1,0.818,57886,0.5
2026-03-16/2026-03-22,Defence Forces,3,3,2.884,891554,-0.394
2026-03-16/2026-03-22,Donald Trump,9,8,7.976,2633641,-0.167
2026-03-16/2026-03-22,Dáil,1,1,0.935,374710,0.0
2026-03-16/2026-03-22,EU,4,4,3.701,946931,-0.062
2026-03-16/2026-03-22,Fianna Fáil,2,2,1.748,688710,0.0
2026-03-16/2026-03-22,Fine Gael,1,1,0.935,374710,0.0
2026-03-16/2026-03-22,Gaza,6,6,5.34,1265608,-0.364
2026-03-16/2026-03-22,Government,15,14,13.466,3945481,-0.162
