Outlet,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,avg_sentiment,top_cluster,top_frame,top_tier,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,impact_score,share_of_voice,entity_type,stance_label,narrative_role,actor_type,entity_group
Offaly Independent,6,6,4.459948187856829,341730,-0.0466666666666666,-0.05,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,Mid,"LIVE: Fuel Protests, as it happens | Offaly Independent",https://www.offalyindependent.ie/2026/04/09/live-fuel-protests-as-it-happens,0.1388888888888889,0.1388888888888889,0.1172972912844582,0.0221573718697273,9.8,0.007577700177112,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Connaught Telegraph,6,6,4.46336337683697,347052,0.12,-0.2166666666666666,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,Mid,"LIVE: Fuel Protests, as it happens | Connaught Telegraph",https://www.con-telegraph.ie/2026/04/09/live-fuel-protests-as-it-happens,0.1388888888888889,0.1388888888888889,0.1173921072203663,0.0225024440995307,9.8,0.007583502773252,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Ireland Afloat,6,6,4.44699233813316,322272,0.3755,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,Marine Notice: Inshore Geophysical and Geotechnical Survey in Galway Bay,https://afloat.ie/port-news/undersea-cables/item/71118-marine-notice-inshore-geophysical-and-geotechnical-survey-in-galway-bay,0.1388888888888889,0.1388888888888889,0.1169375978607038,0.0208957380013483,9.8,0.0075556874674099,Media outlet,Reform / redefine,Media amplifier,Media outlet,Media outlet
The Westmeath Independent,6,6,4.454029987300714,332700,0.1478333333333333,-0.2749999999999999,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,Mid,"LIVE: Fuel Protests, as it happens | Westmeath Independent",https://www.westmeathindependent.ie/2026/04/09/live-fuel-protests-as-it-happens,0.1388888888888889,0.1388888888888889,0.1171329842057333,0.021571877274627,9.8,0.0075676448250062,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
KFM Radio,15,1,4.408,0,-0.3164666666666667,-0.0433333333333333,Sinn Féin and government neutrality clash,Other Neutrality Debate,,KFM Radio - Neutrality,,0.3888888888888888,0.0,0.1158550530718676,0.0,9.8,0.0074894373149121,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Waterford Live,6,5,4.5582312193288335,379698,-0.3876666666666666,0.1083333333333333,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://waterfordlive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1388888888888889,0.1111111111111111,0.120025924360723,0.0246191723998236,9.4,0.0077446885172502,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Letterkenny Live,6,5,4.53768224863129,345984,-0.3531666666666666,0.1666666666666666,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,https://letterkennylive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1388888888888889,0.1111111111111111,0.1194554230209827,0.0224331962337979,9.3,0.0077097746724395,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Leitrim Observer,6,5,4.526694148521262,329202,-0.4006666666666666,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest US military at Co Clare airport,http://leitrimobserver.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1388888888888889,0.1111111111111111,0.1191503602552491,0.0213450710627044,9.3,0.0076911052788406,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Inish Times,6,5,4.522004681121101,322290,-0.3573333333333333,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://inishlive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.1388888888888889,0.1111111111111111,0.1190201665110544,0.020896905100209,9.3,0.0076831376127486,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
North West Today,8,1,5.502427052465625,400000,-0.2754999999999999,-0.1625,Ukraine war and moral neutrality,Other Neutrality Debate,Bottom,North West Today - Neutrality,,0.1944444444444444,0.0,0.146239645510567,0.0259355302370027,9.0,0.009348929784328,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
